customer_id,first_name,last_name,email,phone,loyalty_tier,registration_date,total_orders,total_spent,last_order_date,preferred_order_type
CUST-WAJHZX,Danielle,Johnson,john21@example.net,001-581-896-0013x3890,Bronze,2023-10-12,2,135.31,2025-12-01T13:34:58.137418,dine_in
CUST-AGSAGW,Jeffrey,Lawrence,jeffrey.lawrence@yahoo.com,3268542351,Bronze,2025-04-07,5,253.33,2025-11-13T12:35:26.137418,dine_in
CUST-2FPJG2,Colin,Abbott,colin.abbott868@hotmail.com,+1-540-378-1618x495,Bronze,2023-07-16,4,185.42,2026-01-18T11:24:54.137418,dine_in
CUST-BQD7CK,Brandon,Perez,brandon.perez@outlook.com,313-416-4752x5534,Silver,2023-04-12,5,313.23,2025-06-19T11:47:44.137418,dine_in
CUST-HKCHDJ,Amanda,Sanchez,amanda.sanchez364@outlook.com,364.583.5030x564,Bronze,2023-07-17,5,175.38,2026-02-03T19:59:07.137418,dine_in
CUST-7WVFZF,Robin,Bradley,robin.bradley333@icloud.com,001-653-876-7242x388,Gold,2024-09-22,5,267.87,2025-12-31T21:08:23.137418,dine_in
CUST-HBLJG8,Rachael,Ross,wendytaylor@example.com,801-922-6916,Bronze,2024-04-18,5,197.29,2026-01-24T13:01:15.137418,dine_in
CUST-N7QJHT,Allison,Maddox,allison.maddox@icloud.com,9182451462,Silver,2023-09-06,2,104.54,2026-01-04T21:34:59.137418,dine_in
CUST-9ER25E,Stephanie,Liu,stephanie.liu@hotmail.com,282-781-4893x252,Bronze,2024-02-20,4,164.99,2026-01-03T10:53:42.137418,dine_in
CUST-QJT8XD,Tracy,Rodriguez,natasha43@example.org,991.417.1822,Silver,2024-09-10,3,122.24,2025-12-07T18:47:22.137418,dine_in
CUST-LKFAZZ,Joseph,Brennan,ibrandt@example.net,001-734-265-7871x331,Silver,2023-12-10,2,67.28,2026-01-06T13:47:44.137418,dine_in
CUST-DW4SGM,Brianna,Hall,brianna.hall@icloud.com,501.603.1051,Silver,2023-11-26,1,10.28,2026-01-07T18:14:25.137418,dine_in
CUST-DM93HH,Elizabeth,Lewis,elizabeth.lewis498@gmail.com,(399)873-7631,Gold,2026-03-25,4,218.54,2025-10-17T11:31:16.137418,dine_in
CUST-TEX8FS,Michael,Jenkins,michael.jenkins@yahoo.com,001-801-406-5133x3872,Silver,2024-05-26,6,392.13,2025-08-08T12:41:22.137418,dine_in
CUST-YNXM6Q,Joshua,Wright,joshua.wright@gmail.com,478-810-8013,Silver,2023-06-29,6,374.61,2026-01-24T17:52:36.137418,dine_in
CUST-HCWH65,Todd,Lewis,todd.lewis498@yahoo.com,(502)660-6474x6872,Bronze,2023-05-17,2,192.12,2026-01-05T21:07:51.137418,takeout
CUST-7UR33G,Jeff,Brown,jeff.brown@hotmail.com,001-380-450-0978x8208,Bronze,2025-03-23,4,138.02,2025-12-01T19:41:24.137418,dine_in
CUST-BWWBZ3,Casey,Jones,casey.jones460@yahoo.com,361.893.9909,Bronze,2023-06-08,6,304.01,2025-10-11T19:03:52.137418,dine_in
CUST-Q5C35D,Diane,Cunningham,diane.cunningham@icloud.com,343-353-4624x75107,Platinum,2025-11-02,6,197.09,2025-12-15T20:32:31.137418,dine_in
CUST-5FRGNB,Amanda,Wagner,amanda.wagner803@hotmail.com,(651)235-4278,Silver,2023-07-27,5,404.23,2026-01-18T21:21:03.137418,dine_in
CUST-YZ3XRG,Elizabeth,Spencer,elizabeth.spencer@gmail.com,+1-612-941-1824x49353,Silver,2024-08-10,5,301.84,2025-09-21T20:19:06.137418,dine_in
CUST-BUS5F8,John,Odonnell,john.odonnell70@yahoo.com,4169400524,Silver,2023-07-02,6,353.48,2026-02-04T22:39:55.137418,dine_in
CUST-D6HVVP,Andrea,Patterson,andrea.patterson@icloud.com,4118280598,Bronze,2024-05-03,6,362.14,2026-01-12T11:53:39.137418,takeout
CUST-LJEWQ7,David,Parker,nolanjason@example.org,+1-815-586-9232x26025,Bronze,2024-03-14,6,357.55,2026-02-09T23:16:05.137418,dine_in
CUST-UDTSEM,Joseph,Cobb,joseph.cobb@yahoo.com,560-573-3754,Bronze,2025-01-09,2,57.84,2025-10-27T21:14:36.137418,dine_in
CUST-YV9WA4,Andrew,Lee,andrew.lee@gmail.com,641-245-8685x01429,Bronze,2023-05-10,5,310.27,2025-11-22T21:36:46.137418,takeout
CUST-DTJVYG,Daniel,Hamilton,daniel.hamilton@outlook.com,001-556-798-1693x4060,Bronze,2025-08-13,6,356.94,2026-02-10T13:46:15.137418,dine_in
CUST-BW4BLE,Ryan,Rush,cindy14@example.net,665-864-8236x6299,Bronze,2023-10-25,5,351.84,2026-02-05T08:13:13.137418,dine_in
CUST-YTD8YE,Amy,Smith,amy.smith@outlook.com,336-699-5777x3872,Bronze,2023-05-15,4,144.03,2026-01-21T18:26:18.137418,dine_in
CUST-K6356G,Zachary,Schultz,zachary.schultz@gmail.com,813-543-3200x37917,Silver,2025-04-22,4,226.5,2025-11-24T13:57:03.137418,dine_in
CUST-9Z7HF3,Jennifer,Cruz,jennifer.cruz755@hotmail.com,(332)901-6328x7083,Gold,2024-10-03,2,95.25,2025-11-01T19:44:35.137418,dine_in
CUST-PXZHFY,Dennis,Marshall,dennis.marshall@gmail.com,589.657.9868x72774,Bronze,2024-12-04,8,371.31,2026-01-25T18:13:58.137418,dine_in
CUST-QK3HAG,Katie,Boyd,katie.boyd@gmail.com,+1-434-571-4345x5812,Bronze,2024-04-03,2,88.61,2025-09-02T19:53:52.137418,dine_in
CUST-N9T8D9,Patrick,Hernandez,patrick.hernandez611@outlook.com,516.865.8760,Bronze,2024-07-14,4,180.32,2025-12-12T12:01:06.137418,delivery
CUST-LVSNUJ,Perry,Carrillo,gateskathy@example.com,805.946.6889x3734,Bronze,2025-10-29,1,29.04,2025-10-29T11:55:56.137418,takeout
CUST-TZZXMC,Anthony,Rogers,anthony.rogers@outlook.com,+1-462-972-9806x99016,Silver,2023-05-14,5,291.39,2026-01-23T20:19:04.137418,dine_in
CUST-6SXLYT,Hunter,Green,hunter.green@hotmail.com,737-555-6464x17080,Gold,2024-03-09,6,341.09,2025-12-14T20:27:30.137418,takeout
CUST-KTAKPU,Debra,Harrington,debra.harrington@hotmail.com,+1-500-933-0923x2719,Silver,2023-12-12,2,134.07,2025-10-05T18:32:01.137418,dine_in
CUST-38ZXKX,Holly,Wang,holly.wang@gmail.com,(699)812-4190,Silver,2024-05-07,4,135.48,2026-01-25T20:17:17.137418,takeout
CUST-HGAHR5,Randy,Espinoza,randy.espinoza@hotmail.com,793-814-9190,Silver,2024-06-30,7,309.4,2026-02-07T08:51:59.137418,dine_in
CUST-NNEY65,Doris,Jones,alexander67@example.org,(657)726-2849x87769,Silver,2023-06-24,2,107.59,2026-02-07T13:34:49.137418,dine_in
CUST-3YQT7D,Melissa,Rivas,melissa.rivas@hotmail.com,247-937-9965,Platinum,2024-02-19,6,283.8,2025-11-25T08:31:44.137418,dine_in
